                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                0.70927,                0.40232,                0.91958,                0.98299,                0.96577,                  0.995,                0.86541,                0.64296,                0.33021,                  0.864,             0.00046619,             0.00046619,             0.00046619
                     80,                0.72017,                 0.3875,                0.88864,                0.97548,                0.97557,                  0.995,                0.85841,                0.67041,                0.33262,                0.87206,             0.00046413,             0.00046413,             0.00046413
                     81,                0.75678,                0.42048,                0.97518,                0.97548,                0.97557,                  0.995,                0.85841,                0.67041,                0.33262,                0.87206,             0.00046206,             0.00046206,             0.00046206
                     82,                0.68212,                0.39908,                0.90278,                0.97836,                0.97511,                0.99167,                 0.8789,                0.57864,                0.28836,                 0.8409,                0.00046,                0.00046,                0.00046
                     83,                0.72189,                0.43727,                0.91672,                0.97807,                0.97622,                0.98738,                0.87669,                0.59267,                0.29577,                0.84118,             0.00045794,             0.00045794,             0.00045794
                     84,                0.79377,                0.40353,                0.92114,                0.97819,                0.98611,                 0.9931,                0.89703,                0.58252,                0.29395,                 0.8347,             0.00045588,             0.00045588,             0.00045588
                     85,                0.74699,                0.40193,                0.94376,                0.97819,                0.98611,                 0.9931,                0.89703,                0.58252,                0.29395,                 0.8347,             0.00045381,             0.00045381,             0.00045381
                     86,                0.73998,                0.38997,                0.93332,                0.97428,                0.98611,                0.98833,                 0.8804,                0.59146,                0.28791,                0.83987,             0.00045175,             0.00045175,             0.00045175
                     87,                0.72419,                0.37807,                0.91785,                0.97904,                0.98555,                0.98894,                0.89084,                0.55217,                0.27494,                0.83336,             0.00044969,             0.00044969,             0.00044969
                     88,                0.76088,                0.40086,                0.90124,                0.98705,                0.98544,                  0.995,                0.89477,                0.55854,                 0.2792,                0.83407,             0.00044763,             0.00044763,             0.00044763
                     89,                0.77679,                0.39563,                0.96392,                0.98705,                0.98544,                  0.995,                0.89477,                0.55854,                 0.2792,                0.83407,             0.00044556,             0.00044556,             0.00044556
                     90,                0.68949,                0.36996,                0.92759,                   0.99,                0.98907,                  0.995,                0.88988,                0.55994,                0.28164,                0.83621,              0.0004435,              0.0004435,              0.0004435
                     91,                0.72255,                0.39207,                0.91113,                0.98385,                0.98866,                  0.995,                0.89293,                0.54349,                0.27312,                0.83395,             0.00044144,             0.00044144,             0.00044144
                     92,                0.68109,                0.38281,                0.93418,                0.97789,                0.98663,                  0.995,                0.89234,                0.53683,                0.26962,                0.83181,             0.00043937,             0.00043937,             0.00043937
                     93,                0.73356,                0.35737,                0.98297,                0.97789,                0.98663,                  0.995,                0.89234,                0.53683,                0.26962,                0.83181,             0.00043731,             0.00043731,             0.00043731
                     94,                0.83438,                 0.4221,                0.97703,                0.97822,                0.97656,                  0.995,                0.89407,                0.53002,                0.28032,                0.83011,             0.00043525,             0.00043525,             0.00043525
                     95,                0.66752,                0.35044,                0.88818,                0.97044,                0.97623,                0.99167,                0.89019,                0.55164,                0.29343,                0.83222,             0.00043319,             0.00043319,             0.00043319
                     96,                0.71267,                0.38329,                0.91024,                0.97278,                0.97775,                 0.9931,                 0.9014,                0.48227,                0.26829,                0.82295,             0.00043112,             0.00043112,             0.00043112
                     97,                0.75981,                0.41818,                0.95819,                0.97278,                0.97775,                 0.9931,                 0.9014,                0.48227,                0.26829,                0.82295,             0.00042906,             0.00042906,             0.00042906
                     98,                0.65498,                0.35353,                0.89305,                0.97987,                0.98333,                  0.995,                0.90141,                0.49586,                0.27063,                0.82628,               0.000427,               0.000427,               0.000427
                     99,                  0.725,                0.37764,                0.94257,                0.98638,                 0.9862,                  0.995,                 0.8962,                0.58504,                0.27124,                0.84557,             0.00042494,             0.00042494,             0.00042494
                    100,                0.78089,                0.41117,                0.91112,                0.98628,                 0.9902,                  0.995,                0.88406,                0.58823,                0.26623,                0.84587,             0.00042288,             0.00042288,             0.00042288
                    101,                0.64265,                0.35936,                0.86775,                0.98628,                 0.9902,                  0.995,                0.88406,                0.58823,                0.26623,                0.84587,             0.00042081,             0.00042081,             0.00042081
                    102,                0.74173,                0.37456,                0.94045,                0.98778,                0.99404,                  0.995,                0.88212,                0.61155,                0.26848,                0.84563,             0.00041875,             0.00041875,             0.00041875
                    103,                0.88687,                0.42745,                 1.0179,                0.99012,                0.99178,                  0.995,                0.88506,                0.57478,                0.26963,                0.83446,             0.00041669,             0.00041669,             0.00041669
                    104,                0.74856,                0.37753,                0.88471,                0.99044,                0.99248,                  0.995,                 0.9127,                0.48918,                 0.2501,                0.81739,             0.00041462,             0.00041462,             0.00041462
                    105,                0.77735,                0.43638,                0.97623,                0.99044,                0.99248,                  0.995,                 0.9127,                0.48918,                 0.2501,                0.81739,             0.00041256,             0.00041256,             0.00041256
                    106,                0.76337,                0.37102,                0.95422,                0.98857,                0.99209,                  0.995,                0.89846,                0.54925,                0.26474,                0.83077,              0.0004105,              0.0004105,              0.0004105
                    107,                0.70258,                0.38081,                0.89114,                0.98701,                 0.9918,                  0.995,                0.89161,                0.53339,                0.25615,                0.82802,             0.00040844,             0.00040844,             0.00040844
                    108,                0.63279,                0.32545,                0.87764,                0.98234,                0.99251,                  0.995,                0.89087,                0.53424,                 0.2625,                0.83268,             0.00040638,             0.00040638,             0.00040638
                    109,                0.61835,                0.33159,                 0.8932,                0.98234,                0.99251,                  0.995,                0.89087,                0.53424,                 0.2625,                0.83268,             0.00040431,             0.00040431,             0.00040431
                    110,                0.88029,                0.42618,                 1.0385,                0.97799,                0.98929,                  0.995,                0.87354,                0.59435,                0.28219,                0.84862,             0.00040225,             0.00040225,             0.00040225
                    111,                 0.6642,                0.36513,                0.89562,                0.97106,                0.99951,                  0.995,                0.89458,                0.55961,                0.26966,                0.83594,             0.00040019,             0.00040019,             0.00040019
                    112,                0.70314,                0.38151,                0.96548,                0.97276,                      1,                  0.995,                0.89421,                0.55498,                0.26286,                0.83302,             0.00039813,             0.00039813,             0.00039813
                    113,                0.66404,                0.34043,                0.90662,                0.97276,                      1,                  0.995,                0.89421,                0.55498,                0.26286,                0.83302,             0.00039606,             0.00039606,             0.00039606
                    114,                0.74588,                0.40231,                 0.9797,                 0.9909,                0.99929,                  0.995,                0.89811,                 0.5225,                0.24878,                0.82661,               0.000394,               0.000394,               0.000394
                    115,                0.61793,                0.33055,                0.89444,                0.99026,                      1,                  0.995,                0.89248,                0.53604,                0.25375,                0.83235,             0.00039194,             0.00039194,             0.00039194
                    116,                 0.6267,                0.35565,                0.88601,                0.99194,                0.98876,                  0.995,                0.89446,                0.55251,                0.25506,                0.83232,             0.00038988,             0.00038988,             0.00038988
                    117,                0.63952,                0.35142,                0.89886,                0.99194,                0.98876,                  0.995,                0.89446,                0.55251,                0.25506,                0.83232,             0.00038781,             0.00038781,             0.00038781
                    118,                0.65911,                0.34681,                0.90827,                0.98341,                0.98739,                  0.995,                0.90541,                0.54601,                0.25131,                0.83009,             0.00038575,             0.00038575,             0.00038575
                    119,                0.70416,                0.36208,                0.92561,                0.97015,                0.98187,                0.99119,                0.90536,                0.47963,                0.24591,                0.81722,             0.00038369,             0.00038369,             0.00038369
                    120,                0.63652,                0.32924,                0.87584,                0.96591,                0.98777,                 0.9931,                0.91093,                0.51109,                0.25609,                0.82435,             0.00038163,             0.00038163,             0.00038163
                    121,                0.65727,                0.34287,                0.89823,                0.96591,                0.98777,                 0.9931,                0.91093,                0.51109,                0.25609,                0.82435,             0.00037956,             0.00037956,             0.00037956
                    122,                0.67425,                0.36564,                0.90435,                0.97577,                0.98015,                  0.995,                0.89541,                0.53044,                0.26819,                0.82862,              0.0003775,              0.0003775,              0.0003775
                    123,                0.62995,                0.34131,                0.88004,                0.98021,                0.98373,                  0.995,                0.90339,                 0.5108,                0.25715,                0.82893,             0.00037544,             0.00037544,             0.00037544
                    124,                  0.708,                0.37669,                0.89635,                0.98737,                0.99048,                  0.995,                0.90072,                0.53682,                0.25137,                0.83428,             0.00037337,             0.00037337,             0.00037337
                    125,                0.68981,                0.33242,                0.90792,                0.98737,                0.99048,                  0.995,                0.90072,                0.53682,                0.25137,                0.83428,             0.00037131,             0.00037131,             0.00037131
                    126,                0.65465,                0.39952,                0.95502,                0.99238,                0.99458,                  0.995,                 0.9021,                0.49706,                0.24038,                0.82568,             0.00036925,             0.00036925,             0.00036925
                    127,                0.69577,                0.35892,                0.95577,                0.99228,                0.99411,                  0.995,                 0.8797,                 0.5622,                0.25523,                0.83456,             0.00036719,             0.00036719,             0.00036719
                    128,                 0.6953,                0.37165,                0.97145,                0.99112,                0.99457,                  0.995,                0.88348,                0.57355,                0.25485,                0.83867,             0.00036513,             0.00036513,             0.00036513
                    129,                0.68361,                0.36264,                0.86696,                0.99112,                0.99457,                  0.995,                0.88348,                0.57355,                0.25485,                0.83867,             0.00036306,             0.00036306,             0.00036306
                    130,                0.76082,                0.47593,                0.98914,                0.98934,                      1,                  0.995,                0.90711,                0.48273,                 0.2363,                0.82065,               0.000361,               0.000361,               0.000361
                    131,                0.58152,                0.31917,                0.87845,                0.98936,                 0.9965,                  0.995,                0.90355,                0.52321,                0.23462,                0.83182,             0.00035894,             0.00035894,             0.00035894
                    132,                0.65788,                 0.3191,                0.87722,                0.99198,                0.99488,                  0.995,                0.90569,                0.52299,                0.23301,                0.83279,             0.00035687,             0.00035687,             0.00035687
                    133,                 0.6071,                0.31783,                0.86421,                0.99198,                0.99488,                  0.995,                0.90569,                0.52299,                0.23301,                0.83279,             0.00035481,             0.00035481,             0.00035481
                    134,                0.64596,                 0.3432,                 0.8911,                0.99103,                0.99626,                  0.995,                0.92319,                0.47416,                0.22901,                0.81881,             0.00035275,             0.00035275,             0.00035275
                    135,                  0.546,                0.30446,                0.85669,                0.99073,                 0.9993,                  0.995,                0.91799,                0.47797,                0.22256,                0.81733,             0.00035069,             0.00035069,             0.00035069
                    136,                0.71913,                0.34509,                0.88356,                0.99174,                0.99872,                  0.995,                0.91072,                0.48519,                0.22838,                0.81707,             0.00034862,             0.00034862,             0.00034862
                    137,                 0.6733,                0.33554,                 0.9177,                0.99174,                0.99872,                  0.995,                0.91072,                0.48519,                0.22838,                0.81707,             0.00034656,             0.00034656,             0.00034656
                    138,                0.60932,                0.32875,                0.88528,                 0.9908,                0.99865,                  0.995,                0.90228,                0.51526,                0.23675,                0.82267,              0.0003445,              0.0003445,              0.0003445
                    139,                0.59292,                0.30977,                0.84302,                0.99223,                0.99809,                  0.995,                0.90894,                0.49441,                0.23347,                 0.8196,             0.00034244,             0.00034244,             0.00034244
                    140,                0.58353,                0.34214,                0.87415,                0.99258,                0.99903,                  0.995,                0.92853,                0.44965,                0.22659,                0.81375,             0.00034038,             0.00034038,             0.00034038
                    141,                0.61709,                 0.3252,                0.87138,                0.99258,                0.99903,                  0.995,                0.92853,                0.44965,                0.22659,                0.81375,             0.00033831,             0.00033831,             0.00033831
                    142,                 0.6101,                0.30877,                0.89581,                0.99153,                0.99956,                  0.995,                0.92219,                0.47195,                0.23361,                0.81998,             0.00033625,             0.00033625,             0.00033625
                    143,                0.55975,                0.30397,                0.87879,                0.99072,                 0.9991,                  0.995,                0.92617,                0.47715,                0.22636,                0.82237,             0.00033419,             0.00033419,             0.00033419
                    144,                0.57333,                0.30652,                0.86616,                0.98818,                0.99675,                  0.995,                0.92216,                0.49435,                0.23095,                0.82632,             0.00033213,             0.00033213,             0.00033213
                    145,                0.54606,                0.30829,                0.85946,                0.98818,                0.99675,                  0.995,                0.92216,                0.49435,                0.23095,                0.82632,             0.00033006,             0.00033006,             0.00033006
                    146,                0.65289,                0.33412,                0.88015,                0.98443,                0.99005,                  0.995,                0.92071,                 0.4812,                 0.2367,                 0.8257,               0.000328,               0.000328,               0.000328
                    147,                0.55991,                0.29301,                0.86455,                0.98787,                0.98522,                0.99395,                0.92794,                0.46319,                0.23493,                0.82371,             0.00032594,             0.00032594,             0.00032594
                    148,                0.53502,                0.30623,                0.86748,                0.98755,                0.99304,                  0.995,                0.91908,                 0.4698,                 0.2269,                0.82244,             0.00032387,             0.00032387,             0.00032387
                    149,                0.59787,                0.32105,                0.85796,                0.98755,                0.99304,                  0.995,                0.91908,                 0.4698,                 0.2269,                0.82244,             0.00032181,             0.00032181,             0.00032181
                    150,                0.55803,                0.30334,                0.85654,                0.98414,                0.98703,                  0.995,                0.91257,                0.47193,                0.22567,                0.82174,             0.00031975,             0.00031975,             0.00031975
                    151,                0.59438,                0.31994,                 0.8933,                0.98421,                 0.9905,                  0.995,                0.89471,                0.53029,                0.24173,                 0.8377,             0.00031769,             0.00031769,             0.00031769
                    152,                0.54823,                0.29178,                0.85445,                 0.9913,                0.99051,                  0.995,                0.88835,                0.57071,                0.25114,                0.84978,             0.00031562,             0.00031562,             0.00031562
                    153,                 0.5807,                0.30152,                0.87985,                 0.9913,                0.99051,                  0.995,                0.88835,                0.57071,                0.25114,                0.84978,             0.00031356,             0.00031356,             0.00031356
                    154,                0.56491,                0.29776,                0.87119,                0.99071,                0.98772,                  0.995,                0.88189,                0.58523,                0.25167,                0.85369,              0.0003115,              0.0003115,              0.0003115
